Run,Numerator,Denominator,BlockingCorrection
8497,128758,141454,0.9102464405389739
8498,306634,337115,0.9095827833231983
8500,333979,367049,0.9099030374691117
8502,24719,28142,0.8783668538128064
8503,58965,66903,0.8813506120801757
8504,279829,315792,0.8861180777220449
8505,251761,284234,0.8857525841384212
8506,169396,191284,0.8855732837038122
8507,235481,262087,0.8984840911605688
8508,16029,18041,0.8884762485449809
8544,661455,724645,0.9127986807333246
8545,668397,732979,0.9118910637276102
8546,1175838,1289365,0.9119512318079055
8547,541771,594334,0.9115598299945822
8537,738628,793987,0.9302771959742414
8538,689408,740721,0.9307256038373423
8539,713887,766609,0.9312270009874656
8540,711223,763302,0.9317714351593471
8542,7258,7529,0.9640058440695976
8543,10283,10672,0.9635494752623688
8585,1252670,1351922,0.9265845218880971
8586,1433673,1547470,0.9264625485469832
8587,1483152,1601064,0.9263539746068864
8588,536481,571508,0.9387112691335904
8603,658729,693782,0.9494754836533666
8604,676097,713468,0.9476206361042121
8605,628425,668547,0.9399862687290497
8606,836004,889093,0.9402885862333862
8607,807435,859057,0.9399085276064336
8608,894651,952304,0.9394594583242326
8609,1035066,1101763,0.93946338731651
8610,1043681,1111108,0.9393155300834842
8611,57372,61083,0.9392465988900349
8612,553925,584737,0.9473062248498043
8613,1361530,1438084,0.9467666700971571
8614,1084329,1144072,0.9477803844513283
8615,216034,225545,0.9578310315014742
8617,1395774,1487087,0.9385960606205286
8618,2219993,2366509,0.9380877064063564
8619,258504,266459,0.9701455008087548
8620,234341,239328,0.979162488300575
8622,2107674,2209546,0.9538946009723265
8623,983142,1031063,0.9535227236357041
8624,933850,978807,0.9540695969685545
8626,1835896,1924520,0.9539500758630723
8627,1951931,2048087,0.9530508225480656
8628,1148036,1200655,0.956174754613107
8630,949905,992246,0.9573281222600041
8631,788711,821766,0.959775653896608
8632,765581,791592,0.967140900868124
8633,795398,823179,0.9662515686138737
8634,703002,727599,0.9661942910861615
8635,669329,694716,0.9634570097708992
8636,735336,763354,0.9632961902341509
8637,105631,107194,0.9854189600164188
8645,669155,697018,0.9600254225859304
8646,766814,792294,0.9678402209280899
8647,814035,844642,0.9637633458909218
8648,753970,776797,0.9706139441836156
8649,754460,777318,0.9705937595681562
8650,725367,746332,0.9719092843399453
8651,323118,331710,0.9740978565614543
8652,424792,436055,0.9741706894772448
8653,363136,373296,0.9727829925849728
8654,96484,97854,0.9859995503505222
8704,2736778,2864971,0.9552550444664187
8705,4617089,4832324,0.9554593193668305
8706,756647,792222,0.9550946578105632
8707,3718937,3892863,0.9553218286900926
8709,3294874,3436983,0.9586529814084038
8710,2142515,2233225,0.959381611794602
8711,998136,1047332,0.9530273113014784
8712,5795871,6085018,0.9524821454924209
8713,803009,842936,0.9526334146364611
8714,5487445,5761307,0.9524652999744676
8715,3893826,4086743,0.9527944380157989
8716,5950930,6248284,0.9524102937702575
8717,6004980,6307496,0.9520386536907831
8718,6684915,7021677,0.9520396623199843
8719,1195984,1234285,0.9689690792645135
8720,510204,525387,0.9711013024684662
8721,734600,765247,0.9599514927859893
8722,3222605,3356871,0.9600026334047391
8723,4581488,4771907,0.960095827517175
8724,1853071,1929935,0.9601727519320599
8725,4319983,4523828,0.9549397103514988
8726,988302,1031489,0.9581314003348558
8727,2618609,2737744,0.9564842439614515
8728,3711958,3881903,0.9562212141828377
8729,2885486,3017046,0.956394433495545
8730,2754106,2880754,0.9560365098859535
8731,901380,925416,0.974026816048134
