Run,Numerator,Denominator,BlockingCorrection
8497,127704,138714,0.9206280548466629
8498,304191,330384,0.9207195263693158
8500,331218,359937,0.920211036931463
8502,24467,26900,0.909553903345725
8503,58400,63973,0.9128851234114392
8504,277069,301045,0.9203574216479264
8505,249337,270980,0.9201306369473762
8506,167806,182309,0.920448249949262
8507,231606,260563,0.8888675675364499
8508,15805,16456,0.9604399611084103
8544,656396,702548,0.9343076914317598
8545,663183,710505,0.9333966685667237
8546,1166490,1249381,0.9336543456319569
8547,537553,575853,0.9334899705306736
8537,733624,768824,0.9542157893093868
8538,684779,717300,0.9546619266694549
8539,709005,742567,0.9548027316053636
8540,706646,739234,0.9559165298132932
8542,7221,7300,0.9891780821917808
8543,10231,10382,0.9854555962242343
8585,1245756,1318018,0.9451737381431816
8586,1425772,1508824,0.9449558066414638
8587,1475077,1561311,0.9447682108177038
8588,533905,557228,0.9581446014916695
8603,655881,675958,0.9702984504954449
8604,673098,694944,0.9685643735322559
8605,625422,650603,0.9612959054907524
8606,832009,866801,0.9598616060664443
8607,803581,837686,0.9592866539490931
8608,890387,928536,0.9589148939836474
8609,1030154,1074178,0.9590161034763326
8610,1038701,1083294,0.9588357361898063
8611,57090,59545,0.9587706776387606
8612,551496,569964,0.9675979535549614
8613,1355607,1401767,0.9670701336242044
8614,1079656,1115303,0.9680382819735982
8615,215208,220268,0.977027984092106
8617,1389261,1448539,0.9590773876298808
8618,2209325,2304781,0.9585834836368401
8619,257738,261527,0.9855120121440616
8620,233708,236204,0.9894328631183215
8622,2098855,2170505,0.966989249045729
8623,978935,1012699,0.9666593923762145
8624,929936,961464,0.9672083406138972
8626,1828257,1890307,0.9671746441186537
8627,1943680,2011850,0.966115764097721
8628,1143351,1179060,0.9697140094651672
8630,946175,974512,0.970921856272678
8631,785668,807378,0.9731104885196278
8632,762847,778577,0.9797964748509139
8633,792570,809633,0.9789250191135984
8634,700555,715362,0.9793013886675557
8635,666839,682827,0.9765855773131408
8636,732649,750253,0.9765359152179331
8637,105283,106133,0.9919911808768244
8645,666729,687782,0.9693900102067224
8646,764366,782215,0.9771814654538714
8647,811212,833651,0.9730834605848251
8648,751595,767062,0.9798360497586897
8649,752120,767668,0.9797464528936989
8650,723155,737183,0.9809708037217353
8651,322095,327788,0.9826320670677389
8652,423541,430830,0.9830814938606875
8653,362062,368787,0.981764541591759
8654,96269,97011,0.9923513828328746
8704,2730377,2843650,0.9601663355194908
8705,4606223,4796024,0.9604253439932744
8706,754992,788530,0.9574676930490913
8707,3710713,3874628,0.957695293586894
8709,3288033,3421294,0.9610495327206606
8710,2138144,2223386,0.9616611780410599
8711,995922,1042361,0.9554482564102073
8712,5783040,6056160,0.9549021161924388
8713,801247,839090,0.9548999511375419
8714,5475328,5734165,0.9548605594711698
8715,3885133,4067486,0.9551681308798604
8716,5937607,6218985,0.9547549961931087
8717,5991414,6277729,0.9543919465144163
8718,6669992,6988721,0.9543938010975113
8719,1193668,1227930,0.972097758015522
8720,509226,522370,0.9748377586768
8721,733197,761578,0.9627339550249613
8722,3216400,3340905,0.962733151646036
8723,4572804,4749516,0.9627936825562857
8724,1849554,1920914,0.9628510177967363
8725,4310750,4501971,0.9575250484732132
8726,986302,1026442,0.9608940397996185
8727,2613246,2724243,0.9592558373096673
8728,3704576,3862895,0.9590154534358298
8729,2879549,3002183,0.9591517239288877
8730,2748490,2866635,0.9587861726379535
8731,900086,921209,0.9770703499423041
