Run,Numerator,Denominator,BlockingCorrection
8497,129045,138714,0.9302954280029413
8498,307183,330384,0.9297756549953993
8500,334562,359937,0.9295015516604295
8502,24719,26900,0.9189219330855019
8503,58992,63973,0.9221390274021853
8504,279840,301045,0.929562025610789
8505,251881,270980,0.9295187836740719
8506,169456,182309,0.9294988179409683
8507,238481,260563,0.9152527411796764
8508,15919,16456,0.9673675255226057
8544,661559,702548,0.9416566554883082
8545,668483,710505,0.9408561516104742
8546,1175711,1249381,0.9410348004331746
8547,541732,575853,0.9407470309262954
8537,737719,768824,0.9595421058655818
8538,688548,717300,0.9599163529903806
8539,712905,742567,0.9600547829354119
8540,710304,739234,0.9608648952834962
8542,7235,7300,0.9910958904109589
8543,10255,10382,0.9877672895395877
8585,1252814,1318018,0.9505287484692926
8586,1433843,1508824,0.9503050057528247
8587,1483334,1561311,0.9500567151579666
8588,536359,557228,0.9625485438635532
8603,658074,675958,0.9735427349036478
8604,675457,694944,0.9719588916517015
8605,627946,650603,0.9651753834519669
8606,835536,866801,0.9639305907584325
8607,807037,837686,0.9634123048493111
8608,894274,928536,0.9631010537017413
8609,1034614,1074178,0.963168115526477
8610,1043144,1083294,0.9629371158706685
8611,57350,59545,0.9631371231841465
8612,553344,569964,0.9708402635955955
8613,1360292,1401767,0.9704123438488708
8614,1083265,1115303,0.9712741739240368
8615,215849,220268,0.9799380754353787
8617,1394842,1448539,0.9629302352232145
8618,2218450,2304781,0.962542645049573
8619,258162,261527,0.9871332596634382
8620,234005,236204,0.9906902508001558
8622,2105660,2170505,0.9701244641224047
8623,982126,1012699,0.9698103780096554
8624,932906,961464,0.9702973798290939
8626,1834082,1890307,0.9702561541590863
8627,1950141,2011850,0.9693272361259537
8628,1146745,1179060,0.9725925737451868
8630,948941,974512,0.9737601999770141
8631,787764,807378,0.9757065463760469
8632,764481,778577,0.9818951754290198
8633,794359,809633,0.9811346622482038
8634,702077,715362,0.9814289828087038
8635,668419,682827,0.9788994869857226
8636,734403,750253,0.9788737932404136
8637,105381,106133,0.9929145506110257
8645,668739,687782,0.972312447839577
8646,766178,782215,0.9794979641147255
8647,813380,833651,0.9756840692328085
8648,753267,767062,0.9820157953333629
8649,753784,767668,0.9819140565973833
8650,724782,737183,0.9831778540742258
8651,322782,327788,0.9847279339085019
8652,424415,430830,0.9851101362486363
8653,362757,368787,0.9836490982599712
8654,96374,97011,0.9934337343187886
8704,2738530,2843650,0.9630334253512212
8705,4619766,4796024,0.9632491413721033
8706,757400,788530,0.9605214766717817
8707,3722388,3874628,0.9607084860791797
8709,3297667,3421294,0.9638654263562266
8710,2144319,2223386,0.9644384735713907
8711,998988,1042361,0.958389655791036
8712,5801403,6056160,0.9579342355552033
8713,803797,839090,0.9579389576803442
8714,5492562,5734165,0.9578660537323219
8715,3897576,4067486,0.9582272686371877
8716,5956542,6218985,0.9577997052573691
8717,6010568,6277729,0.957443049867237
8718,6691339,6988721,0.9574482941871624
8719,1196152,1227930,0.97412067463129
8720,510203,522370,0.9767080804793538
8721,735146,761578,0.9652931150847319
8722,3224837,3340905,0.9652585152825357
8723,4584802,4749516,0.9653198346947353
8724,1854360,1920914,0.9653529517719169
8725,4323529,4501971,0.96036358297288
8726,989118,1026442,0.9636374972964863
8727,2620722,2724243,0.9620000858954212
8728,3715033,3862895,0.961722490515533
8729,2887682,3002183,0.9618607526589819
8730,2756274,2866635,0.9615015514706267
8731,901670,921209,0.9787898294523827
