Run,Numerator,Denominator,BlockingCorrection
8509,222759,240372,0.9267260745843942
8510,137736,148668,0.9264670272015497
8511,235784,254342,0.9270352517476469
8512,269663,290853,0.9271453277084988
8513,99241,106969,0.9277547700735728
8514,111088,119668,0.9283016345221781
8515,107532,115900,0.927799827437446
8519,9813,9954,0.9858348402652201
8521,65123,68525,0.9503538854432689
8522,259002,270479,0.9575678703337412
8523,334166,348976,0.9575615515107057
8524,279677,292337,0.9566938156990049
8525,297172,313069,0.949222056479562
8526,277710,292309,0.9500562760640281
8527,278019,292682,0.9499012580206504
8528,289956,305267,0.9498439071370308
8529,6530,6600,0.9893939393939394
8530,290864,303115,0.9595829965524636
8531,392904,409523,0.9594186407112665
8532,373195,389013,0.9593381198057649
8533,381335,397643,0.9589883387862983
8534,577925,602488,0.9592307232675173
8535,556833,580482,0.9592597186476066
8536,299994,312385,0.9603342029866991
8681,2929404,3132912,0.9350419035070248
8683,5084804,5374108,0.9461670662368526
8684,4701543,4970177,0.9459508182505372
8685,386657,393520,0.9825599715389307
8687,1929537,2038292,0.9466440529619897
8688,2154351,2306113,0.9341914294746181
8689,4515362,4834162,0.9340526858636512
8690,5443532,5757535,0.9454622507722489
8691,4102479,4339664,0.945344846974328
8692,2969253,3142130,0.9449809524112625
8693,1179457,1247695,0.9453087493337715
8694,97652,99172,0.9846730932117936
8695,4989580,5278878,0.945197066497843
8696,1427718,1509857,0.9455981592958803
8697,404121,424022,0.9530661144940593
8698,4426992,4664283,0.9491259428297982
8699,5506888,5863308,0.9392117896586705
8700,103407,104926,0.985523130587271
8732,1411629,1468811,0.9610691913391172
8733,1023166,1076920,0.950085428815511
8734,2304971,2424624,0.9506509050475456
8735,2304523,2423443,0.9509293183293356
8736,2314484,2434294,0.9507824445198485
8737,2391536,2514397,0.9511369922888072
8738,2468406,2597038,0.9504697274356402
8739,2399364,2524419,0.9504618686517571
8740,2510326,2640590,0.9506686005779011
8741,2410118,2533816,0.9511811433821556
8742,2385070,2508833,0.9506690959501888
8743,2338607,2459160,0.9509779762195221
8744,917074,965458,0.949884925082189
8745,2701803,2844179,0.9499412660033001
8746,2496297,2627537,0.9500520829963575
8747,2531271,2663839,0.9502342296212346
8748,2410547,2536484,0.9503497755160293
8749,2883183,3034837,0.9500289471889265
8750,2479508,2609642,0.9501333899439081
8751,2721682,2863384,0.9505124007118849
8752,2465610,2593643,0.9506358430979128
8757,1332600,1377448,0.9674412391611154
8758,1080087,1109489,0.9734995119374775
8759,953128,994564,0.9583375227737984
8760,4576162,4775704,0.9582172596961621
8761,4460118,4654402,0.9582580103738354
8762,2836040,2960579,0.9579342419168683
8763,1007760,1051022,0.9588381594295837
8764,4094573,4269081,0.9591228182365245
8765,3728310,3887521,0.959045623161907
8766,3267984,3407665,0.9590097618163758
8767,367132,375616,0.9774131027432271
8768,325903,332403,0.9804454231760844
8769,911344,945666,0.9637060019076503
8770,3093209,3217749,0.9612959245733586
8771,2248263,2341457,0.9601982867932232
8772,2255749,2349008,0.9602985600730181
8773,2254291,2347789,0.9601761487084232
8774,1754208,1826581,0.9603778863351803
